match_no,city,date_of_match,venue,Home_team,Away_team,toss_winner,toss_decision,winner,result,result_margin,Home_team_run,Home_team_wickets,Home_team_over,Home_Run_Rate,Home_Wickets_Remaining,Home_Required_RR,Home_Match_Phase,Home_Chasing,Away_team_run,Away_team_wickets,Away_team_over,Away_Run_Rate,Away_Wickets_Remaining,Away_Required_RR,Away_Match_Phase,Away_Chasing,Home_Win,Away_Win,Toss_Winner_Batting
1,Ahmedabad,3/31/2023,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,Wickets,5,182,5,19.2,9.48,5,0.0,Death,1,178,7,20.0,8.9,3,0.0,Death,0,1,0,False
2,Mohali,4/1/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,Runs,7,191,5,20.0,9.55,5,0.0,Death,0,146,7,16.0,9.13,3,0.0,Middle,0,1,0,False
3,Lucknow,4/1/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,Runs,50,193,6,20.0,9.65,4,0.0,Death,0,143,9,20.0,7.15,1,0.0,Death,0,1,0,False
4,Hyderabad,4/2/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,Runs,72,131,8,20.0,6.55,2,0.0,Death,0,203,5,20.0,10.15,5,0.0,Death,0,0,1,False
5,Bengaluru,4/2/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,8,172,2,16.2,10.57,8,0.0,Middle,1,171,7,20.0,8.55,3,0.0,Death,0,1,0,False
6,Chennai,4/3/2023,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,Wickets,12,217,7,20.0,10.85,3,0.0,Death,0,205,7,20.0,10.25,3,0.0,Death,0,1,0,False
7,Delhi,4/4/2023,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,6,162,8,20.0,8.1,2,0.0,Death,0,163,4,18.1,8.97,6,0.0,Death,0,0,1,False
8,Guwahati,4/5/2023,Barsapara Cricket Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,Runs,5,192,7,20.0,9.6,3,0.0,Death,0,197,4,20.0,9.85,6,0.0,Death,0,0,1,False
9,Kolkata,4/6/2023,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,Runs,81,204,7,20.0,10.2,3,0.0,Death,0,123,10,17.4,7.04,0,0.0,Death,0,1,0,False
10,Lucknow,4/7/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,Wickets,5,127,5,16.0,7.94,5,0.0,Middle,1,121,8,20.0,6.05,2,0.0,Death,0,1,0,False
